time_ms,head_deg,seg2_deg,seg3_deg,seg4_deg,seg5_deg,seg6_deg,seg7_deg,tail_deg
338.166666666667,-0.298686723535859,-2.10138768612965,-6.66229471096354,-15.8358319082163,-28.6100939676276,-40.8595885483231,-47.0530523878395,-48.7566708600722
338.333333333333,-0.265182306296329,-2.02371513153703,-6.55296602410265,-15.7385168338431,-28.5422391354676,-40.8997812100746,-47.3415371169937,-49.3064053502513
338.5,-0.232877985900133,-1.94784396969967,-6.44498032088857,-15.6403278628424,-28.4709780613639,-40.9354284864123,-47.6219332383374,-49.8430147875795
338.666666666667,-0.201731484261116,-1.87372122466377,-6.33842173907137,-15.5413805879105,-28.3963489442266,-40.9665592321916,-47.8942809236315,-50.366108332853
338.833333333333,-0.171709328566988,-1.80130354906131,-6.23337543208913,-15.4417983005156,-28.318409394952,-40.9931780040605,-48.1586366120042,-50.8754422489629
339,-0.142787106725305,-1.73055761487909,-6.12992690641549,-15.3417109885535,-28.2372362980105,-41.0152662782348,-48.41507251582,-51.3709143262078
339.166666666667,-0.114949718596679,-1.66146046236858,-6.02816138308738,-15.241254234337,-28.1529254302536,-41.0327832566878,-48.66367597586,-51.8525573318099
339.333333333333,-0.088191615314412,-1.59399978907852,-5.92816319816066,-15.1405680281948,-28.0655908188124,-41.0456662979276,-48.9045487537511,-52.3205317884938
339.5,-0.0625170208674017,-1.52817416409712,-5.83001525609504,-15.0397955139757,-27.9753638249334,-41.0538310132431,-49.1378063481666,-52.7751184245358
339.666666666667,-0.0379401319208152,-1.46399315565173,-5.73379854891025,-14.9390816850718,-27.8823919475944,-41.0571710759267,-49.3635774221752,-53.2167106530915
339.833333333333,-0.0143885656986127,-1.40136086000934,-5.63940632542587,-14.8382653312847,-27.786575870187,-41.0554969435578,-49.5819759179341,-53.6456500371263
340,0.00825252515846975,-1.34014414670262,-5.54659190572145,-14.7369327495012,-27.6876394335269,-41.0486049574653,-49.7931270205281,-54.0622474355883
340.166666666667,0.0300218227141638,-1.28032284690876,-5.45517760490147,-14.6347500502681,-27.5854246424344,-41.036372475775,-49.9972070180586,-54.4669480241552
