iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
145,4.947346e-02,4.334335e-01,0.000000e+00,0,0,0,1.486794e-05,2.852608e-06
146,4.888200e-02,5.027797e-01,0.000000e+00,0,0,0,1.554416e-05,3.078980e-06
147,4.854902e-02,7.572125e-02,9.710528e+01,360,81,13,7.047020e-01,1.788370e-01
148,4.743619e-02,2.071008e-01,0.000000e+00,0,0,0,1.436936e-05,2.775358e-06
149,4.670386e-02,2.869805e-01,0.000000e+00,0,0,0,1.420401e-05,2.806639e-06
150,4.610486e-02,3.713870e-01,0.000000e+00,0,0,0,1.507311e-05,3.006319e-06
151,4.534010e-02,4.605503e-01,0.000000e+00,0,0,0,1.593831e-05,3.259363e-06
152,4.439694e-02,5.413656e-01,0.000000e+00,0,0,0,1.668254e-05,3.521028e-06
153,4.547102e-02,8.352607e-02,1.068232e+02,361,81,13,8.070512e-01,1.913520e-01
154,4.300708e-02,2.225002e-01,0.000000e+00,0,0,0,1.548420e-05,3.214122e-06
155,4.172710e-02,3.128380e-01,0.000000e+00,0,0,0,1.529759e-05,3.233324e-06
156,4.082943e-02,3.983356e-01,0.000000e+00,0,0,0,1.610117e-05,3.427192e-06
157,3.988439e-02,4.902027e-01,0.000000e+00,0,0,0,1.688972e-05,3.674895e-06
158,4.213936e-02,7.790476e-02,9.310618e+01,361,81,13,7.040849e-01,1.673535e-01
159,3.920178e-02,2.129115e-01,0.000000e+00,0,0,0,1.609747e-05,3.478211e-06
160,3.746808e-02,3.296590e-01,0.000000e+00,0,0,0,1.599598e-05,3.509772e-06
161,3.805086e-02,4.269733e-01,0.000000e+00,0,0,0,1.670498e-05,3.689046e-06
162,3.922053e-02,4.955284e-01,0.000000e+00,0,0,0,1.738429e-05,3.909993e-06
163,3.843915e-02,7.786217e-02,8.949187e+01,414,85,14,6.641761e-01,1.559258e-01
164,3.949924e-02,2.120972e-01,0.000000e+00,0,0,0,1.666736e-05,3.712128e-06
165,4.010478e-02,3.687867e-01,0.000000e+00,0,0,0,1.662077e-05,3.742716e-06
166,4.117122e-02,4.772727e-01,0.000000e+00,0,0,0,1.734098e-05,3.925757e-06
167,4.239553e-02,5.535041e-01,0.000000e+00,0,0,0,1.805538e-05,4.160316e-06
168,4.039294e-02,8.112881e-02,9.912479e+01,414,85,14,7.026148e-01,1.565116e-01
169,4.271284e-02,2.335327e-01,0.000000e+00,0,0,0,1.739191e-05,4.010426e-06
170,4.337317e-02,4.156370e-01,0.000000e+00,0,0,0,1.734590e-05,4.037712e-06
171,4.446428e-02,5.382109e-01,0.000000e+00,0,0,0,1.803398e-05,4.216701e-06
172,4.279481e-02,7.176647e-02,9.330150e+01,414,85,14,5.851982e-01,1.323438e-01
173,4.495863e-02,2.507982e-01,0.000000e+00,0,0,0,1.778588e-05,4.177839e-06
174,4.571020e-02,4.496840e-01,0.000000e+00,0,0,0,1.784039e-05,4.229485e-06
175,4.444583e-02,6.754288e-02,7.816994e+01,413,88,14,4.339755e-01,1.000550e-01
176,4.634803e-02,2.627942e-01,0.000000e+00,0,0,0,1.795599e-05,4.249262e-06
177,4.718797e-02,4.713997e-01,0.000000e+00,0,0,0,1.814885e-05,4.330696e-06
178,4.594525e-02,7.049859e-02,7.223502e+01,414,85,14,4.073076e-01,9.197797e-02
