iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
153,2.964970e-01,8.533859e-01,3.687272e+01,35,46,25,1.023704e-02,7.945405e-04
154,2.956249e-01,8.595161e-01,3.596861e+01,35,46,25,1.015686e-02,8.196466e-04
155,2.963307e-01,8.801098e-01,3.632187e+01,32,48,24,1.012881e-02,8.141348e-04
156,3.052551e-01,9.127960e-01,3.552129e+01,33,47,25,1.001959e-02,8.015581e-04
157,3.102745e-01,9.379406e-01,3.520457e+01,33,47,24,9.965120e-03,7.895843e-04
158,3.121400e-01,9.215355e-01,3.471935e+01,33,47,24,9.779517e-03,8.025494e-04
159,3.113627e-01,9.234943e-01,3.446268e+01,33,46,25,9.694320e-03,7.394555e-04
160,3.085254e-01,8.741837e-01,3.412533e+01,32,47,24,9.692222e-03,7.081193e-04
161,3.057270e-01,8.591766e-01,3.420899e+01,32,47,24,9.646816e-03,7.108816e-04
162,3.041154e-01,8.698425e-01,3.534395e+01,35,45,25,9.621873e-03,7.413037e-04
163,3.055130e-01,8.890686e-01,3.736866e+01,32,47,24,9.573471e-03,7.659214e-04
164,3.141511e-01,8.956718e-01,3.530453e+01,35,45,25,9.564521e-03,7.742146e-04
165,3.185658e-01,8.920975e-01,3.631842e+01,33,46,25,9.504214e-03,7.449778e-04
166,3.193445e-01,8.651581e-01,3.677455e+01,33,46,25,9.718055e-03,7.686250e-04
167,3.177544e-01,8.356476e-01,3.483313e+01,33,46,24,9.772806e-03,7.623610e-04
168,3.143350e-01,8.400116e-01,3.496770e+01,34,45,25,9.623608e-03,7.101795e-04
169,3.109915e-01,8.204842e-01,3.436359e+01,32,46,24,9.589082e-03,7.042686e-04
170,3.089361e-01,8.129578e-01,3.560456e+01,32,46,24,9.593569e-03,7.050467e-04
171,3.107426e-01,8.033981e-01,3.713493e+01,32,46,24,9.622887e-03,7.085917e-04
172,3.178638e-01,8.301163e-01,3.699292e+01,32,46,24,9.569868e-03,6.738632e-04
173,3.219603e-01,8.433647e-01,3.508380e+01,33,45,25,9.398521e-03,6.256807e-04
174,3.221004e-01,8.466702e-01,3.481423e+01,33,45,25,9.517984e-03,7.380644e-04
175,3.201673e-01,8.603840e-01,3.546077e+01,33,45,25,9.483933e-03,7.586335e-04
176,3.163323e-01,8.453350e-01,3.317892e+01,33,45,24,9.324747e-03,6.288521e-04
177,3.123957e-01,8.660965e-01,3.373686e+01,33,45,24,9.507982e-03,6.941157e-04
178,3.097482e-01,8.413029e-01,3.457109e+01,32,45,24,9.302640e-03,6.480301e-04
179,3.122281e-01,8.575592e-01,3.695372e+01,32,45,24,9.337282e-03,6.744745e-04
180,3.181655e-01,8.297729e-01,3.607371e+01,32,45,24,9.327350e-03,6.903601e-04
181,3.222974e-01,8.303947e-01,3.606076e+01,32,45,24,9.188506e-03,6.317788e-04
182,3.222330e-01,8.471184e-01,3.413163e+01,33,44,25,9.176243e-03,6.335722e-04
183,3.202544e-01,8.475914e-01,3.499310e+01,33,44,25,9.045657e-03,6.319914e-04
184,3.182605e-01,7.949066e-01,3.417599e+01,33,44,25,9.021768e-03,6.584553e-04
185,3.166172e-01,7.650070e-01,3.279362e+01,33,44,25,9.168524e-03,6.534545e-04
186,3.146256e-01,7.575798e-01,3.187587e+01,32,44,24,9.181051e-03,6.303340e-04
187,3.166557e-01,7.784157e-01,3.442743e+01,32,44,24,9.103425e-03,6.189529e-04
188,3.201542e-01,7.334747e-01,3.608687e+01,32,44,24,9.165044e-03,5.880333e-04
189,3.215632e-01,6.576157e-01,3.540241e+01,32,44,24,9.153299e-03,5.796168e-04
190,3.217668e-01,6.352158e-01,3.413056e+01,32,44,24,9.125164e-03,5.439388e-04
191,3.212558e-01,6.474419e-01,2.943243e+01,31,44,24,9.133343e-03,4.968917e-04
192,3.198538e-01,6.687546e-01,3.150309e+01,31,44,24,9.119616e-03,5.359714e-04
193,3.182758e-01,7.190475e-01,3.259556e+01,33,43,25,9.113289e-03,5.517525e-04
194,3.164125e-01,7.310810e-01,3.177332e+01,33,43,25,9.023226e-03,5.542772e-04
195,3.162066e-01,7.414589e-01,3.083831e+01,33,43,24,9.115199e-03,5.748509e-04
196,3.192494e-01,7.353840e-01,3.152745e+01,32,43,24,9.061066e-03,5.389467e-04
197,3.204141e-01,7.704659e-01,3.380655e+01,32,43,24,9.013750e-03,5.692602e-04
198,3.205620e-01,7.610416e-01,3.383900e+01,32,43,24,8.909032e-03,5.384600e-04
199,3.200704e-01,7.598495e-01,3.332416e+01,32,43,24,8.791040e-03,5.188647e-04
200,3.187596e-01,7.379494e-01,2.806623e+01,31,43,24,8.747220e-03,4.754185e-04
