iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
90,3.348809e-01,1.674541e+00,6.725342e+01,32,54,24,1.505028e-02,1.199404e-03
91,3.348690e-01,1.662357e+00,6.678297e+01,33,53,25,1.510995e-02,1.226417e-03
92,3.345491e-01,1.652493e+00,6.644633e+01,33,53,25,1.518426e-02,1.434621e-03
93,3.337969e-01,1.637047e+00,6.589222e+01,33,53,25,1.513007e-02,1.520548e-03
94,3.326173e-01,1.614716e+00,6.550674e+01,33,53,25,1.501579e-02,1.574965e-03
95,3.310389e-01,1.592663e+00,6.413438e+01,33,53,25,1.488779e-02,1.589702e-03
96,3.291355e-01,1.566582e+00,6.326002e+01,33,53,25,1.469438e-02,1.592738e-03
97,3.268930e-01,1.545273e+00,6.157536e+01,33,53,24,1.436301e-02,1.460414e-03
98,3.243987e-01,1.520409e+00,6.073564e+01,32,53,24,1.391671e-02,1.268929e-03
99,3.217254e-01,1.504753e+00,6.154336e+01,32,53,24,1.385671e-02,1.333475e-03
100,3.188290e-01,1.537212e+00,6.339194e+01,32,53,24,1.372456e-02,1.269553e-03
101,3.168632e-01,1.522549e+00,6.302302e+01,32,53,24,1.359458e-02,1.240661e-03
102,3.157107e-01,1.512760e+00,6.213586e+01,33,52,25,1.337309e-02,1.165575e-03
103,3.143152e-01,1.497509e+00,6.197369e+01,32,53,24,1.340924e-02,1.220877e-03
104,3.126874e-01,1.466789e+00,6.130807e+01,32,53,24,1.320897e-02,1.165972e-03
105,3.108286e-01,1.426922e+00,6.041861e+01,32,53,24,1.311289e-02,1.119507e-03
106,3.087313e-01,1.389767e+00,5.974407e+01,32,53,24,1.332749e-02,1.319151e-03
107,3.064635e-01,1.359676e+00,5.879031e+01,32,53,24,1.343620e-02,1.476780e-03
108,3.040245e-01,1.318367e+00,5.710391e+01,33,52,25,1.332502e-02,1.467911e-03
109,3.014423e-01,1.281456e+00,5.403926e+01,32,52,24,1.310945e-02,1.305113e-03
110,2.987661e-01,1.252048e+00,5.399965e+01,32,52,24,1.309668e-02,1.316580e-03
111,2.959722e-01,1.226418e+00,5.418516e+01,32,52,24,1.272846e-02,1.166656e-03
112,2.934085e-01,1.239292e+00,5.556274e+01,32,52,24,1.266833e-02,1.218346e-03
113,2.914460e-01,1.262177e+00,5.538986e+01,32,52,24,1.243328e-02,1.147166e-03
114,2.894509e-01,1.278397e+00,5.373261e+01,32,52,24,1.220162e-02,1.060253e-03
115,2.874020e-01,1.263611e+00,5.249557e+01,32,52,24,1.214426e-02,1.034385e-03
116,2.853039e-01,1.246811e+00,5.122042e+01,32,52,24,1.220777e-02,1.037613e-03
117,2.831515e-01,1.224758e+00,5.031567e+01,32,52,24,1.215004e-02,1.128176e-03
118,2.809427e-01,1.202930e+00,4.888934e+01,32,52,24,1.221540e-02,1.198814e-03
119,2.786764e-01,1.185123e+00,4.691512e+01,32,52,24,1.224817e-02,1.302869e-03
120,2.763569e-01,1.160641e+00,4.499080e+01,32,51,24,1.175001e-02,1.120464e-03
121,2.739659e-01,1.119568e+00,4.433987e+01,32,51,24,1.157040e-02,9.711785e-04
122,2.715124e-01,1.114525e+00,4.493710e+01,32,51,24,1.164094e-02,9.963968e-04
123,2.689990e-01,1.143320e+00,4.779777e+01,32,51,24,1.166635e-02,1.036695e-03
124,2.664615e-01,1.133516e+00,4.569872e+01,32,51,24,1.157613e-02,9.368800e-04
125,2.638924e-01,1.090239e+00,4.438209e+01,32,51,24,1.155070e-02,9.789522e-04
126,2.647436e-01,1.055496e+00,4.332851e+01,32,51,24,1.139197e-02,9.488823e-04
127,2.641037e-01,1.025747e+00,4.282101e+01,32,51,24,1.154007e-02,1.031777e-03
128,2.625490e-01,1.006798e+00,4.204602e+01,32,51,24,1.134532e-02,1.024984e-03
129,2.604694e-01,9.936275e-01,4.011392e+01,33,50,25,1.117484e-02,1.001965e-03
130,2.583993e-01,9.749126e-01,3.930376e+01,32,50,24,1.114284e-02,1.013591e-03
131,2.563305e-01,9.347420e-01,3.906133e+01,32,50,24,1.089959e-02,8.786545e-04
132,2.730148e-01,9.894180e-01,4.352229e+01,32,50,24,1.099024e-02,9.167304e-04
133,2.792519e-01,9.556923e-01,3.946147e+01,32,50,24,1.099812e-02,9.263642e-04
134,2.807339e-01,9.700356e-01,3.868444e+01,35,48,25,1.095355e-02,8.989160e-04
135,2.804094e-01,9.520111e-01,3.734834e+01,32,50,24,1.084610e-02,8.593589e-04
136,2.787872e-01,9.492817e-01,3.710050e+01,32,50,24,1.086074e-02,9.564859e-04
137,2.765526e-01,9.473152e-01,3.681274e+01,32,50,24,1.072294e-02,9.017932e-04
138,2.741702e-01,9.417896e-01,3.561507e+01,33,49,25,1.062099e-02,8.972667e-04
139,2.714181e-01,9.248981e-01,3.436179e+01,32,49,24,1.048567e-02,8.214353e-04
140,2.767220e-01,9.104977e-01,3.600820e+01,32,49,24,1.043638e-02,7.699341e-04
141,2.882802e-01,9.296207e-01,3.688386e+01,32,49,24,1.048150e-02,8.315288e-04
142,2.910672e-01,8.803177e-01,3.733469e+01,35,47,25,1.028078e-02,8.182128e-04
143,2.910807e-01,8.922653e-01,3.581392e+01,35,47,25,1.037890e-02,8.538865e-04
144,2.896994e-01,8.707962e-01,3.626646e+01,35,47,25,1.042005e-02,8.416632e-04
145,2.873765e-01,8.666515e-01,3.507499e+01,32,49,24,1.036046e-02,8.691148e-04
146,2.847590e-01,8.669434e-01,3.519386e+01,32,49,24,1.040168e-02,8.939414e-04
147,2.843990e-01,8.709011e-01,3.547663e+01,33,48,25,1.028876e-02,8.566284e-04
148,2.936702e-01,8.551998e-01,3.376526e+01,34,47,25,1.020648e-02,8.156942e-04
149,2.994128e-01,8.476810e-01,3.581002e+01,32,48,24,1.014069e-02,7.542784e-04
150,3.015073e-01,8.203964e-01,3.522401e+01,33,47,25,1.012300e-02,7.452209e-04
151,3.008780e-01,8.064041e-01,3.489508e+01,35,46,25,1.008402e-02,7.281900e-04
152,2.987506e-01,8.357086e-01,3.643206e+01,35,46,25,1.011020e-02,8.075182e-04
153,2.969077e-01,8.666611e-01,3.647931e+01,35,46,25,1.002861e-02,8.032844e-04
154,2.959539e-01,8.637886e-01,3.544139e+01,32,48,24,1.005604e-02,8.169851e-04
155,2.987168e-01,8.832588e-01,3.433492e+01,33,47,25,1.004500e-02,7.545986e-04
156,3.073913e-01,9.065933e-01,3.525759e+01,33,47,25,9.854214e-03,7.666454e-04
157,3.121225e-01,9.236794e-01,3.431473e+01,32,47,24,9.774059e-03,7.772067e-04
158,3.134189e-01,8.961201e-01,3.398083e+01,32,47,24,9.704263e-03,7.274747e-04
159,3.120551e-01,8.968601e-01,3.427849e+01,33,46,25,9.628324e-03,7.293238e-04
160,3.091313e-01,8.590050e-01,3.388447e+01,32,47,24,9.535245e-03,6.948001e-04
161,3.063864e-01,8.505554e-01,3.432907e+01,32,47,24,9.429601e-03,7.100225e-04
162,3.048335e-01,8.659821e-01,3.549498e+01,32,47,24,9.391334e-03,7.595829e-04
163,3.079724e-01,8.877640e-01,3.726294e+01,32,47,24,9.379093e-03,7.802914e-04
164,3.161311e-01,8.820724e-01,3.490873e+01,33,46,25,9.506344e-03,7.719520e-04
165,3.199722e-01,8.721428e-01,3.586277e+01,33,46,25,9.642942e-03,7.221955e-04
166,3.203873e-01,8.485756e-01,3.437996e+01,32,46,24,9.618215e-03,7.034895e-04
167,3.183982e-01,8.349380e-01,3.366458e+01,32,46,24,9.489791e-03,6.983494e-04
168,3.151542e-01,8.393250e-01,3.446319e+01,32,46,24,9.555863e-03,7.015638e-04
169,3.120385e-01,8.254890e-01,3.499600e+01,32,46,24,9.456846e-03,6.934378e-04
170,3.098211e-01,7.949715e-01,3.552729e+01,32,46,24,9.481411e-03,6.870175e-04
171,3.117895e-01,8.040237e-01,3.691608e+01,32,46,24,9.448308e-03,7.023583e-04
172,3.191990e-01,8.344307e-01,3.738509e+01,32,46,24,9.394183e-03,6.919137e-04
173,3.229903e-01,8.409786e-01,3.519957e+01,33,45,25,9.263197e-03,6.544284e-04
174,3.229374e-01,8.493576e-01,3.445800e+01,33,45,25,9.424353e-03,7.631418e-04
175,3.206155e-01,8.516331e-01,3.492915e+01,33,45,25,9.348135e-03,7.399138e-04
176,3.169374e-01,8.316803e-01,3.237734e+01,32,45,24,9.211303e-03,6.469559e-04
177,3.134522e-01,8.595352e-01,3.371313e+01,32,45,24,9.152897e-03,6.351842e-04
178,3.107173e-01,8.300438e-01,3.513232e+01,32,45,24,9.064682e-03,6.675431e-04
179,3.108205e-01,8.454399e-01,3.679991e+01,32,45,24,9.010980e-03,6.692332e-04
180,3.186420e-01,8.252754e-01,3.597065e+01,32,45,24,8.962689e-03,6.310008e-04
181,3.230111e-01,8.260460e-01,3.617265e+01,32,45,24,8.856271e-03,6.262950e-04
182,3.229367e-01,8.337975e-01,3.395383e+01,33,44,25,8.840460e-03,6.242666e-04
183,3.207492e-01,8.303261e-01,3.473320e+01,33,44,25,8.866688e-03,6.354374e-04
184,3.171177e-01,7.915115e-01,3.346102e+01,33,44,25,8.789108e-03,6.368441e-04
185,3.132365e-01,7.716827e-01,3.208754e+01,31,45,24,8.842239e-03,6.130620e-04
186,3.106433e-01,7.646561e-01,3.232153e+01,32,44,24,8.890252e-03,5.853733e-04
187,3.117867e-01,7.603188e-01,3.496339e+01,32,44,24,8.838980e-03,5.650491e-04
