iter,u_fl,u_bd,u_in,div_fl,div_bd,div_in,p_fl,p_bd,p_in,nin,nbd
93,1.184399e-01,9.457123e-02,7.043578e-02,2.288254e+00,4.283351e+01,2.811547e+01,4.067397e+00,3.685203e+00,1.871226e+00,5002,5483
94,1.181597e-01,9.300648e-02,6.998032e-02,2.493713e+00,3.834076e+01,2.686908e+01,4.466923e+00,3.812173e+00,1.984205e+00,5015,5472
95,1.181023e-01,9.172795e-02,6.904444e-02,2.562447e+00,3.534536e+01,2.565622e+01,4.545535e+00,3.735801e+00,1.946246e+00,5018,5458
96,1.181465e-01,8.905393e-02,6.801619e-02,2.576492e+00,3.607969e+01,2.447279e+01,4.542157e+00,3.709973e+00,2.011078e+00,4987,5463
97,1.180406e-01,8.871286e-02,6.509821e-02,2.554546e+00,3.658963e+01,2.330010e+01,4.510898e+00,3.660659e+00,1.971925e+00,4979,5464
98,1.177115e-01,8.831640e-02,6.394129e-02,2.594469e+00,3.139129e+01,2.215660e+01,4.547216e+00,3.535477e+00,1.821343e+00,4996,5490
99,1.170765e-01,8.693677e-02,6.264241e-02,2.577515e-01,3.195799e+01,2.109551e+01,4.998586e+00,3.908349e+00,2.016401e+00,4997,5485
100,1.164464e-01,8.403698e-02,6.140459e-02,2.432598e+00,3.402900e+01,2.001101e+01,3.985019e+00,3.090078e+00,1.523532e+00,5002,5494
101,1.162728e-01,8.126651e-02,5.984971e-02,2.563210e-01,3.717781e+01,1.901313e+01,4.873745e+00,3.713167e+00,1.920126e+00,4992,5531
102,1.159784e-01,8.171477e-02,5.816597e-02,2.391743e+00,3.816903e+01,1.803300e+01,3.943408e+00,2.982246e+00,1.448734e+00,4989,5497
103,1.153278e-01,8.189490e-02,5.653746e-02,3.122954e-01,2.975578e+01,2.276225e+01,4.853463e+00,3.620826e+00,1.835433e+00,4976,5544
104,1.144433e-01,8.110712e-02,5.471408e-02,2.451736e+00,2.622172e+01,1.619717e+01,3.961158e+00,2.918737e+00,1.491048e+00,4973,5553
105,1.133721e-01,7.876835e-02,5.190630e-02,3.781738e-01,2.560627e+01,1.542205e+01,4.753313e+00,3.350355e+00,1.817775e+00,4973,5544
106,1.131280e-01,7.484929e-02,5.010362e-02,2.486799e+00,3.236834e+01,1.830175e+01,3.893733e+00,2.548998e+00,1.430524e+00,4979,5514
107,1.126095e-01,7.332487e-02,4.836873e-02,2.648811e-01,2.792426e+01,1.861683e+01,4.710531e+00,3.051661e+00,1.699424e+00,4977,5530
108,1.121820e-01,7.452246e-02,4.756721e-02,2.443235e+00,3.206541e+01,1.873077e+01,3.813480e+00,2.384348e+00,1.421585e+00,4969,5542
109,1.118730e-01,7.586220e-02,4.763973e-02,2.655487e-01,2.906608e+01,2.189144e+01,4.683802e+00,2.882377e+00,1.673536e+00,4963,5546
110,1.114079e-01,7.499990e-02,4.790803e-02,2.510494e+00,2.889027e+01,1.908620e+01,3.822517e+00,2.181162e+00,1.496603e+00,4969,5556
111,1.108019e-01,7.308940e-02,4.806668e-02,2.688074e-01,2.909711e+01,2.321786e+01,4.639746e+00,2.714131e+00,1.930373e+00,4980,5528
112,1.100718e-01,7.130510e-02,4.844582e-02,2.492748e+00,2.702627e+01,2.283085e+01,3.742411e+00,2.385617e+00,1.843153e+00,4985,5516
113,1.097452e-01,6.869736e-02,4.864441e-02,2.655487e-01,2.683553e+01,2.270202e+01,4.524935e+00,2.951502e+00,2.326115e+00,4994,5497
114,1.095639e-01,6.713860e-02,4.902422e-02,2.408880e+00,2.531827e+01,2.242825e+01,3.629352e+00,2.694160e+00,2.116798e+00,5002,5489
115,1.092286e-01,6.594180e-02,4.964146e-02,2.563825e+00,3.649329e+01,2.231233e+01,3.981345e+00,2.942422e+00,2.365908e+00,5002,5503
116,1.087305e-01,6.656982e-02,5.029424e-02,2.588665e+00,2.412903e+01,2.701627e+01,4.014834e+00,3.124923e+00,2.566708e+00,5007,5510
117,1.081085e-01,6.770819e-02,5.098965e-02,2.578917e+00,2.463692e+01,2.219768e+01,3.973948e+00,3.301488e+00,2.761351e+00,5013,5494
118,1.073741e-01,6.749948e-02,5.183236e-02,2.554151e+00,2.499971e+01,2.214555e+01,3.915661e+00,3.517349e+00,2.700925e+00,5010,5498
119,1.070552e-01,6.617001e-02,5.271999e-02,2.515373e+00,2.499926e+01,2.211832e+01,3.852503e+00,3.830874e+00,2.835317e+00,5013,5512
120,1.069678e-01,6.566513e-02,5.403374e-02,2.951087e-01,2.618349e+01,2.202179e+01,4.341516e+00,4.664949e+00,3.329364e+00,5022,5482
121,1.068027e-01,6.575842e-02,5.573864e-02,3.408718e-01,2.802446e+01,2.560633e+01,4.332401e+00,4.784667e+00,3.272668e+00,5026,5475
