iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
74,9.944256e-02,9.179594e+01,9.531885e+00,15,65,43,1.937521e-04,4.480043e-05,1.454701e-06,4.397049e-05
75,1.014656e-01,8.539376e+01,1.034836e+01,13,65,27,1.838791e-04,4.245764e-05,1.428999e-06,4.166316e-05
76,1.030640e-01,7.896088e+01,1.059812e+01,12,65,41,1.731639e-04,3.897580e-05,1.434029e-06,3.820305e-05
77,1.034540e-01,7.878857e+01,8.899382e+00,15,64,43,1.637450e-04,3.680105e-05,1.421710e-06,3.601902e-05
78,1.051165e-01,7.011813e+01,9.269891e+00,13,64,43,1.537713e-04,3.456284e-05,1.399168e-06,3.380972e-05
79,1.062916e-01,7.068067e+01,9.378482e+00,12,64,41,1.433580e-04,3.140486e-05,1.386796e-06,3.069634e-05
80,1.068011e-01,7.385608e+01,7.987391e+00,15,63,23,1.358496e-04,3.007507e-05,1.353706e-06,2.939182e-05
81,1.073040e-01,6.326314e+01,8.175812e+00,13,63,43,1.272408e-04,2.832729e-05,1.334481e-06,2.766785e-05
82,1.084871e-01,6.280501e+01,7.991713e+00,12,63,42,1.191295e-04,2.497601e-05,1.319175e-06,2.436839e-05
83,1.092104e-01,5.093179e+01,6.782952e+00,16,62,23,1.146348e-04,2.364525e-05,1.308094e-06,2.302992e-05
84,1.099189e-01,5.394551e+01,7.121935e+00,14,62,43,1.068931e-04,2.260034e-05,1.280621e-06,2.201617e-05
85,1.109095e-01,4.851598e+01,6.414762e+00,13,62,43,9.638164e-05,1.970856e-05,1.240611e-06,1.920904e-05
86,1.116735e-01,4.372829e+01,5.680940e+00,18,61,43,8.976028e-05,1.872067e-05,1.220318e-06,1.825661e-05
87,1.120825e-01,7.013459e+01,5.875830e+00,16,61,23,8.605162e-05,1.917146e-05,1.243993e-06,1.867363e-05
88,1.118463e-01,7.052341e+01,5.674681e+00,14,61,43,8.049909e-05,1.609151e-05,1.196941e-06,1.567680e-05
89,1.123557e-01,6.367993e+01,4.892485e+00,16,64,43,7.512500e-05,1.274433e-05,1.135123e-06,1.239301e-05
90,1.126856e-01,6.070305e+01,4.822956e+00,17,64,42,6.840468e-05,1.254224e-05,1.119525e-06,1.217614e-05
91,1.127000e-01,5.344569e+01,4.865469e+00,18,63,42,6.076770e-05,1.428547e-05,1.170679e-06,1.390883e-05
92,1.118575e-01,5.468256e+01,4.734809e+00,19,63,42,5.501446e-05,1.262075e-05,1.170434e-06,1.232284e-05
93,1.115197e-01,4.283351e+01,4.067397e+00,13,65,40,4.997265e-05,8.481254e-06,1.088293e-06,8.269224e-06
94,1.114182e-01,3.834076e+01,4.466923e+00,13,64,41,5.204683e-05,7.220423e-06,1.029094e-06,7.025009e-06
95,1.110450e-01,3.534536e+01,4.545535e+00,13,64,41,4.536248e-05,7.578592e-06,1.053555e-06,7.378256e-06
96,1.108403e-01,3.607969e+01,4.542157e+00,13,64,41,3.650464e-05,8.147686e-06,1.102179e-06,8.004768e-06
97,1.106623e-01,3.658963e+01,4.510898e+00,13,64,40,3.219412e-05,7.215905e-06,1.082543e-06,7.128041e-06
98,1.101431e-01,3.139129e+01,4.547216e+00,13,64,40,3.179908e-05,5.454198e-06,1.028271e-06,5.384375e-06
99,1.095530e-01,3.195799e+01,4.998586e+00,13,64,40,3.457424e-05,4.660907e-06,1.000314e-06,4.625591e-06
100,1.095036e-01,3.402900e+01,3.985019e+00,13,63,41,2.654398e-05,3.585730e-06,1.008535e-06,3.540786e-06
101,1.092115e-01,3.717781e+01,4.873745e+00,13,63,41,2.899785e-05,4.048658e-06,1.034631e-06,4.097385e-06
102,1.087613e-01,3.816903e+01,3.943408e+00,13,63,40,2.658106e-05,3.148661e-06,1.039501e-06,3.217872e-06
103,1.078691e-01,2.975578e+01,4.853463e+00,13,63,40,3.164196e-05,3.633540e-06,1.022550e-06,4.063054e-06
104,1.069479e-01,2.622172e+01,3.961158e+00,13,63,40,2.994354e-05,3.825848e-06,1.004489e-06,4.232996e-06
105,1.064653e-01,2.560627e+01,4.753313e+00,13,63,40,3.921922e-05,5.310955e-06,1.002346e-06,5.701257e-06
106,1.060340e-01,3.236834e+01,3.893733e+00,12,63,40,3.985432e-05,6.025891e-06,1.009400e-06,6.144565e-06
107,1.053372e-01,2.792426e+01,4.710531e+00,12,63,40,5.343738e-05,8.925635e-06,1.023610e-06,9.035602e-06
108,1.045096e-01,3.206541e+01,3.813480e+00,12,63,39,5.384873e-05,9.004847e-06,1.036922e-06,9.095417e-06
109,1.033332e-01,2.906608e+01,4.683802e+00,12,63,39,7.116076e-05,1.154694e-05,1.047360e-06,1.162560e-05
110,1.025689e-01,2.889027e+01,3.822517e+00,12,63,39,7.121649e-05,1.122033e-05,1.055104e-06,1.127301e-05
111,1.018879e-01,2.909711e+01,4.639746e+00,12,63,39,9.305586e-05,1.483045e-05,1.064625e-06,1.486961e-05
112,1.015931e-01,2.702627e+01,3.742411e+00,12,63,39,9.217941e-05,1.447394e-05,1.077302e-06,1.448301e-05
113,1.011315e-01,2.683553e+01,4.524935e+00,12,63,39,1.183624e-04,1.808101e-05,1.095727e-06,1.807702e-05
114,1.006663e-01,2.531827e+01,3.629352e+00,12,62,39,1.144097e-04,1.643112e-05,1.120568e-06,1.639542e-05
115,1.000184e-01,3.649329e+01,3.981345e+00,12,62,39,1.300754e-04,1.825456e-05,1.150989e-06,1.832846e-05
116,9.921666e-02,2.701627e+01,4.014834e+00,12,62,39,1.446849e-04,2.029401e-05,1.186389e-06,2.033725e-05
117,9.870238e-02,2.463692e+01,3.973948e+00,12,62,39,1.583218e-04,2.215315e-05,1.224273e-06,2.216567e-05
118,9.836159e-02,2.499971e+01,3.915661e+00,12,62,39,1.709256e-04,2.350850e-05,1.268111e-06,2.348874e-05
119,9.801628e-02,2.499926e+01,3.852503e+00,12,62,39,1.841260e-04,2.436061e-05,1.316436e-06,2.430837e-05
120,9.794717e-02,2.618349e+01,4.664949e+00,27,58,33,2.220782e-04,2.804355e-05,1.366403e-06,2.797268e-05
